key,value,label,emerlabel,version,sent1,num
topic0,1.556543,keep crash; get stick; long time,0,11.30,1: every_time_i see a_new youtube io update my body fill instantly with joy;<br>2: every_time_i see a_new youtube io update my body fill instantly with joy;<br>3: but after_update new io youtube be totally unable fully download;<br>,1
topic0,1.541531,whats wrong; make sense; billion dollar,0,11.34,1: also you_need_to change the_comment_section back;<br>2: change the comment style back as_well;<br>3: i now can not download it back on to my_phone;<br>,2
topic0,1.402977,subscription fee; landscape mode; bring back,0,11.35,1: i believe that put in a feature the allow_you to put on your custom thumbnail in the youtube application would be_very helpful and a_great time saver;<br>2: it would_really improve the youtube experience for us user if_you_could solve_this problem;<br>3: change it back your not help anyone with this;<br>,3
topic0,1.223582,bug fix; get stick; bring back,0,11.38,1: there's_a glitch in the_new_update where video_won't_play anymore it's some_thing youtube need_to fix_asap;<br>2: i_think it's the io update that apple create;<br>3: what_happen_to the up_next feature since i update youtube it's_not there anymore;<br>,4
topic0,1.435363,social medium; use safari; cant see,0,11.39,1: and also give_us a way_to change thumbnail on_io or_at_least a quick way_to get to desktop mode;<br>2: white box appear with_no content or any way_to close;<br>3: thumbnail only show_up as a grey colour;<br>,5
topic0,1.483623,find anything; ipad air; offline mode,0,11.41,1: i would appreciate if_you_can downgrade the requirement to download the_app to io_7;<br>2: if anyone can help much would be appreciate;<br>3: please_fix_this bug and it would also be_very helpful if_you could_give us an_option_to use an_older_version of the_app;<br>,6
topic0,1.147063,say fail; cellular data; default download quality,0,11.43,1: if_you add comment notification then i'd say this_app would finally be worth 5_star as_long as you don't change anything_else;<br>2: can_you please put it back_to the one before that you message hole update up it's just garbage now be that do you_guy_should a leave keep the sweep function it so just change it back_to the_original that's it;<br>3: you've change this_app a_lot yet i still_can't change the order of my_watch_later playlist from my_phone;<br>,7
topic0,1.760366,sub box; cellular data; double tap,0,11.45,1: if i_know this feature would have be remove i'd not have update it;<br>2: why be it that every_single_time you would have to post content you take subscriber away_from our channel;<br>3: deer youtube i just want you to put how to delete a youtube chanel on a ipad it would be_very helpful thank_you;<br>,8
topic0,1.415080,would rate; wont work; wrong tap,0,11.47,1: i don't_understand_why something like youtube would feel the need_to keep add new_feature;<br>2: need major work who ever make this update need_to be fire;<br>3: and also_why would you make youtube <digit>;<br>,9
topic0,2.100283,data usage; cellular network; many time,0,11.47.1,1: if_you add comment notification then i'd say this_app would finally be worth 5_star as_long as you don't change anything_else;<br>2: it's_really_annoy me and i'd_like it if_you would fix_it;<br>3: very_buggy trashy advertisement keep_on play every second;<br>,10
topic0,1.352807,full screen mode; make money; default download quality,0,11.49,1: thank_for another trash update that_wasn't need that break youtube another;<br>2: for something that's be around so_long it look_like a beta and a fail at that;<br>3: there_be several aspect of youtube that be_perfect before the update but as_soon_as the update hit it completely ruin those aspect don't fix what isn't break;<br>,11
topic0,1.645231,stop change; home page; party apps,0,12.03,1: the_new_update be so_bad change it back;<br>2: the_new_update make it look_like trash;<br>3: the_new_update on_ipad be_terrible please_change it back;<br>,12
topic0,1.881332,important thing; fix something; keep press,0,12.04,1: force low resolution over mobile network make this_app useless;<br>2: i_think that youtube have make great stride to build a better youtube and i encourage them to pursue their goal on make youtube better;<br>3: if i be a beta tester for this_app my one criticism for this_app would be one post note say fix_it;<br>,13
topic0,1.892109,full screen; last time; full screen mode,0,12.05,1: they're try_to make it <digit> like you're on a_computer but it can't run as_well anymore;<br>2: new developer be need_to get a_fresh perspective on all the problem_with_this app;<br>3: look_like whomever design the ui need_to be replace with someone_who understand modern interface design and can_see beyond the exist issue;<br>,14
topic0,1.606130,grey screen; single video; many time,0,12.06,1: i lose my_account when_i enter when_i try_to log_in back my_password will_not_work;<br>2: change quality be only an_option when connect_to_wifi at this stage and i_think it should_be revise;<br>3: why change the way you_can skip through a_video;<br>,15
topic0,1.871842,fix something; search bar; multiple time,0,12.07,1: if_you keep_on people will just uninstall your cancerous app and move on because we_don't need that unecessary torture you make for us you as lick sh eater;<br>2: freeze before start need_to close all the apps to make it work but will happen_again when re_open it;<br>3: stop force us to use your_app just so that_you_can track us better;<br>,16
topic0,1.745532,useless feature; chrome cast; live stream,0,12.09,1: i bet you won't_even read any review from your_user because you care so_much about the money make from add advertisement to the_app but why_can't you just add a 5_second_skip button to every ad and also put an_ad_at every_single_video;<br>2: i_know advertisement be important for your business but why_can't you just add a 5_second_skip button to every ad and not put an_ad_at every_single_video;<br>3: fix bug that would be_useful_for a better youtube experience_instead_of fix the one that nobody_care and add useless_feature to the_app;<br>,17
topic0,1.602183,background playback; useless feature; keep get,0,12.10,1: you would think_they would have employ a designer that actually finish school;<br>2: the_app be still break if i_could_give it negative star i would;<br>3: the most obvious of all be the lack_of option_to change playback quality while on data and background_playback ability;<br>,18
topic0,1.575857,web browser; bug fix; keep get,0,12.11,1: and the ipad i own have zero problem before;<br>2: don't be surprise with bad_review anymore;<br>3: i_can't_even play_any song on_my_phone or my itunes song i_want my <digit> dollar back because i_can't_even play my song i buy on itunes;<br>,19
topic1,1.301483,get stick; make money; keep crash,0,11.30,1: pretty bad app in some respect but it's youtube so i_can't bag it out too_much since i use the_app heap but my advice be to release the monkey you're use to update this_app back_into the wild and hire some human developer for the_app;<br>2: pretty bad app in some respect but it's youtube so i_can't bag it out too_much since i use the_app heap but my advice be to release the monkey you're use to update this_app back_into the wild and hire some human developer for the_app;<br>3: visual sometimes black out generally a frustrate and unpleasant experience to use the_app but i don't have a choice but to use it so;<br>,1
topic1,1.119140,keep crash; offline mode; make sense,0,11.34,1: doesn't_help when the website try_to stop me and try_to open the_app instead;<br>2: latest_update keep_crash the_app fix_it asap;<br>3: aug <digit> title annoy rat 2_star i'm go_to have to remove this_app it can't do everything that a browser can so why it keep try_to open the_app instead be_ridiculous;<br>,2
topic1,2.573860,live stream; subscribe channel; relate video,0,11.35,1: when_i try_to click_on my subscribe_channel to view video the_app doesn't select that specific channel and just show the all channel section;<br>2: i like to_watch live_stream but when_i start watch the live_stream the video just restart fix_this;<br>3: when_i try_to watch video the ad and the video won't actually play;<br>,3
