key,value,label,emerlabel,version,sent1,num
topic0,1.548463,billion dollar; many time; keep crash,say something; watch anything; relate video,11.30,1: it keep_tell_me something_go_wrong_tap to_retry i tap it close the_app then back in and turn_off my_phone then go_back in;<br>2: i'll watch one video and_then get a something_go_wrong_tap to_retry;<br>3: everything be_fine_until today when_i update the_app and suddenly i_cant view the video_anymore only_thing mention be something_go_wrong_tap to_retry and re tap doesnt_work;<br>,1
topic0,1.586465,say error; web browser; use safari,0,11.34,1: i usually ask to be pay when_i'm force to_watch advertisement and get nothing in return for it;<br>2: hi my name be ms yvettemarie and when make my review i'm go_to be_honest and upfront cause that's what i do always honest with people yeah tell em straight me best way_to be i_reckon and the truth be i_reckon youtube be pretty slack because when_i try_to load a_video it_take a_good 10_minute to load and i_reckon it can't be issue_with my_wifi because i always_have sufficient wifi and so i'm guess the issue must_be on youtube's side which_be a_bite unfortunate because youtube as a very proud very strong black woman who descend from be part aboriginal malaysian and although very proud of my malay heritage i identify as be aboriginal very proud of my race and where i come_from and i only access your channel to educate myself on my wonderful history and culture of indigenous australia but i have to say i'm quite disappoint when your video take_forever_to load and so i would please ask that you rectify any issue you may_be encounter on your end thank so_much and overall i_reckon your_app be marvellous despite the problem i encounter try_to get the video to load so good one thank guy;<br>3: i attempt_to view_any_video all i get be a_message at_the_bottom that say_error while load video what's the_point_of have youtube if_you cannot_even view anything in_my_subscription;<br>,2
topic0,3.747148,sub box; full screen; auto play,subscribe channel; sub box; major problem,11.35,1: i'm use an <digit> run on_io_10;<br>2: while i believe many others share the common opinion with me that the official youtube app have many many flaw i still give it a <digit> star_rat because after all i have be use it and feel safe sign_in as it be the official_app;<br>3: today <digit> <digit> the_top panel of icon option such_as my_subscription list what's trend etc disappear;<br>,3
topic0,1.077934,subscription list; bug fix; take age,0,11.38,1: s plz give option_to skip all add longer then 5_second or_at_least all 30_second_ad iv have to resort to watch_vids_on safari not_impress;<br>2: or a bug u have update;<br>3: must_be a glitch or a bug;<br>,4
topic0,1.435363,social medium; use safari; cant see,0,11.39,1: thumbnail only show_up as a grey colour;<br>2: i've_try_everything to fix_it but the thumbnail aren't show_up;<br>3: and also give_us a way_to change thumbnail on_io or_at_least a quick way_to get to desktop mode;<br>,5
topic0,2.010985,home button; ipad air; find anything,home button; find anything; keep freeze,11.41,1: why_do u make it <digit> i watch nothing violent just sometimes put it to <digit>;<br>2: it only stay_on <digit> min and <digit> sec;<br>3: this way involve about <digit> extra click and only sometimes work;<br>,6
topic0,1.881615,home trend; home page; multiple time,0,11.43,1: please move the navigation bar subscription trend etc back_to the_top;<br>2: there's_no error cod or_anything for reference leave it up to user to lookup answer on place like yahoo answer to try and figure_out why;<br>3: since this new_update i be_able_to slide through the home_trend subscription and library easily;<br>,7
topic0,1.590498,side bar; full screen; cellular data,0,11.45,1: i like the_fact_that i_could view a vertical footage fullscreen without have to go horizontal and see <digit> 3rds of black;<br>2: i_don't_like it because i've be so use to the tab icon be at the_top and now it's be move to the_bottom it's also harder_to see them because_they aren't red anymore and they hide with the_background colour color which_be white;<br>3: <digit> carry it to a_new horizon;<br>,8
topic0,1.282482,try delete; mise jour; background playback,0,11.47,1: depuis <digit> semaines je n'arrives pa regarder de vid_os sur youtube et pourtant ma copine qui a le m_me t_l phone que moi y arrive sans probl me;<br>2: the watch next tab be completely miss now <digit>;<br>3: all_these weekly patch only serve to keep youtube at the top_of the chart with the horribly low average score of <digit>;<br>,9
topic0,1.567078,comment section; playback issue; keep write,0,11.47.1,1: all i see be an empty comment_section with the number_of comment;<br>2: maybe i_want_to read what i'm respond_to midway through type hence why i hide the keyboard only to find i_can't get back_to my_comment you_guy on the pilot program;<br>3: can't_reply to comment which suck when your start your channel and want_to interact with your commenters;<br>,10
topic0,2.006363,watch vids; playback speed; grey screen,0,11.49,1: for something that's be around so_long it look_like a beta and a fail at that;<br>2: guess you an only have the iphone app if_you have enough money to buy a_new phone;<br>3: also now the_app doesn't go_back_to where_you be in suggestion after you've watch something;<br>,11
topic0,1.769781,home page; billion dollar; pause button,home page; billion dollar; nothing happen,12.03,1: all_these weekly patch only serve to keep youtube at the top_of the chart with the horribly low average score of <digit>;<br>2: they completely ruin the interface of go from home to trend to subscription;<br>3: look youtube this double_tap_to go forward_or_backwards 10_second would be a_good idea if it didn't take_up the_whole screen;<br>,12
topic0,3.153149,keep press; many bug; double tap,important thing; keep press; many bug,12.04,1: maybe not make the_whole screen sensitive for this and just a_small space on the screen;<br>2: i make a animal jam stream that be half an_hour than when_i be gonna post it crash ok number one fix the glitch_where it crash when your do a stream when your try_to upload it number to fix giltches number three make dis let u do <digit> hour vids again;<br>3: it make me really just want ti get off youtube;<br>,13
topic0,2.199342,nothing happen; spring day; full screen,0,12.05,1: all_these weekly patch only serve to keep youtube at the top_of the chart with the horribly low overall score of <digit>;<br>2: ever_since i update youtube it's no_longer compatible with my_ipod <digit> even_though the detail say io_8_or later i be on_io_10;<br>3: ability_to thumb up or down <digit>;<br>,14
topic0,2.393713,spring day; keep get; say error,0,12.06,1: <digit> min of usage on charge and ive lose about <digit> of battery;<br>2: the audio have completely_stop work after the_new_update give today on my i phone <digit>;<br>3: ever_since_the new_update_come_out with the completely new redesign in <digit> the load have be much slower everything have be glitchy buggy and what's more annoy be waste your time to tap the arrow to_see the description;<br>,15
topic0,1.608072,third party; next time; get stick,0,12.07,1: use to work but after_update it will_load the ad but won't_play them result_in me not_be_able to watch_any_video;<br>2: and if the ad fail_to chooch then the_whole thing tell_you that you have to tap_to_retry;<br>3: look_like i have to go_back_to use a third_party youtube app again;<br>,16
topic0,3.325908,live stream; lgbt community; keep get,lgbt community; playback issue; live stream,12.09,1: get the something_go_wrong error also;<br>2: this latest_update have completely trash the youtube app what sort of quality control do you have when_you fix a_small problem and completely wreck the_rest_of your product get some decent coder and improve your qa;<br>3: this really suck because i_can't get it on_my_ipod;<br>,17
topic0,2.920124,background playback; double tap; pause button,background playback; useless feature; keep crash,12.10,1: often comment give away the_end_of a_video so it's irritate we can't hide the comment then open them if_we_want to read_them;<br>2: also when_i scroll_down at_the_bottom comment it buffer it's_not mild buffer but it's infinite buffer;<br>3: and why the_heck sometimes_there's comment and description section that won't usually load;<br>,18
topic0,1.584071,say something; relate video; watch anything,say something; watch anything; relate video,12.11,1: it keep_tell_me something_go_wrong_tap to_retry i tap it close the_app then back in and turn_off my_phone then go_back in;<br>2: i'll watch one video and_then get a something_go_wrong_tap to_retry;<br>3: everything be_fine_until today when_i update the_app and suddenly i_cant view the video_anymore only_thing mention be something_go_wrong_tap to_retry and re tap doesnt_work;<br>,19
topic1,1.556543,keep crash; get stick; long time,0,11.30,1: youtube be suppose_to be a free app for people to_watch their favourite youtuber but_now you have to pay to_watch a_bunch_of stuff;<br>2: seriously when_you have idiot spamming you on_facebook or someone you_can't exactly ingore for_a_bite it's kinda stupid how you cant put your_phone on silent to_watch youtube i swear it so_stupid;<br>3: but_now it's not_available below ios8;<br>,1
topic1,1.599742,make sense; billion dollar; web browser,0,11.34,1: i_can't reply_to a person_who comment on someone original comment i_can_only reply_to the_original comment please_fix_this when_i like a_video and_then click off the video and_then click_on it again my like be go when_i give a_video a thump up or a dislike after i refresh the page the like be go;<br>2: fix the comment plz can't_even tell the difference_between comment and reply and everything_else you do in the update scrap it and start over plz;<br>3: thank_for make it impossible_to direct reply_to a user what's the_point_of even have a forum that restrict you to just make random comment;<br>,2
topic1,3.695606,relate video; right hand; offline view,live stream; auto play; pause button,11.35,1: when_i try_to watch video the ad and the video won't actually play;<br>2: if i tap a relate_video there_be currently no_way to simply go_back_to the previous video as there would be in a browser without go_to the history section and play the_last video;<br>3: video still stop and cannot be play again;<br>,3
topic1,1.466969,get stick; bring back; take age,0,11.38,1: ever_since_the update video load_but dont play;<br>2: seem_to me a_lot_of people now can't_watch video due_to a bug include myself;<br>3: after the update i_can't seem_to play the video and thats so_frustrate cuz youtube isn't some small company and bug like this should_be immediately fix;<br>,4
topic1,1.596210,multiple time; pause button; social medium,0,11.39,1: when_i click_on_a video to_watch it load_but doesn't_play;<br>2: the video would load_but it wouldn't ever start play;<br>3: reoccurring issue since_the last_update video add load_but won't_play some day it will work then next they won't multi bil company would think this_issue would have be resolve immediately by now smh;<br>,5
topic1,1.483623,find anything; ipad air; offline mode,0,11.41,1: why_do_you need_to go_to a_different page to read the comment reply;<br>2: when_you get to the comment you go_to another_page when_you try_to see the reply;<br>3: recent downdates they sure as_hell ain't update when_you tap_on a comment it instantly go_to reply_to it so when_i try_to scroll_through the comment a reply come_up out_of nowhere;<br>,6
