key,value,label,emerlabel,version,sent1,num
topic0,1.606773,audio keep; billion dollar; right hand,error message; background play; web browser,11.30,1: i_can't_even play_any song on_my_phone or my itunes song i_want my <digit> dollar back because i_can't_even play my song i buy on itunes;<br>2: not a_single_video play due_to the_same error_message pop_up over and over;<br>3: every_video i watch will_play for like <digit> second and it will buffer for almost <digit> minute before it play for_a_few second;<br>,1
topic0,1.568970,say error; audio continue; make sense,0,11.34,1: fix_this app asap the_new_update make watch video impossible;<br>2: good_job youtube not_only do you have terrible guideline and demonetise you_tuber video bite actually make youtube eveworse;<br>3: i_want_to watch video without go_into safari;<br>,2
topic0,1.607045,dosent work; auto play; subscribe channel,0,11.35,1: when_ever i tap_on one_of my_subscription it put me back onto all_of them;<br>2: it a_good app but video tend_to start back from the_begin while half_way_through a_video and notification dont come_up when a_new video be out even_when get out if the_app and completely turn_off my_phone dosent_work;<br>3: also it keep put them back after i tap_on something_else;<br>,3
topic0,0.983530,get stick; wont work; live stream,0,11.38,1: whenever_i_try and watch_a video it get_stick on the first second not_even advertisement will_play;<br>2: if i watch_a video it wont_work it just_sit_there freeze hel;<br>3: each_time i go_to watch_a video tap_on it the video doesn't_play i_try youtube through_safari and same_problem;<br>,4
topic0,1.259508,multiple time; pause button; subscription page,0,11.39,1: please_make it so the screen doesn't time put while_i'm watch video it's_very_annoy to have to touch my_screen especially when watch long video or music video;<br>2: after_update i_could watch video only for_a_few time and later on all video could be load properly but the video continue_to be_stick_at <digit>;<br>3: i watch_a video for_a_few minute and turn the screen off for_a_few minute to watch_later;<br>,5
topic0,1.582462,home button; ipad air; find anything,0,11.41,1: why_do u make it <digit> i watch nothing violent just sometimes put it to <digit>;<br>2: i waste to much safari internet cause i watch yt like <digit> <digit>;<br>3: cause <digit> also mean mature audience it mean m rat;<br>,6
topic0,1.516375,next time; lock screen; relate video,0,11.43,1: i_can't_watch a_single_video because_they won't_load not_even ad will_load and nobody want_to_see them anyways;<br>2: ad after ad after ad after ad after ad after ad after ad after ad after ad after ad;<br>3: not_even the ad that come_on before it;<br>,7
topic0,1.446078,wont load; night time; wont let,0,11.45,1: most_of_the video i select to_watch won't_load as it_say it's do so while others work fast and fine;<br>2: most video that i_click_on won't_load it's_really_annoy because i have to skip video i really_want_to watch;<br>3: no_matter_what i've_try video just won't_load;<br>,8
topic0,1.293376,scrub bar; try delete; mise jour,0,11.47,1: flood with add get beyond the joke the one where_you_can skip after 5sec be_fine_but the <digit> 30sec add be a head fck also how_do you see where_you comment on a_video;<br>2: like if i skip to <digit> <digit> it just_stay like that and whatever pic on <digit> <digit>;<br>3: you watch <digit> or <digit> vid_os and thon it will stop;<br>,9
topic0,2.008201,play button; audio keep; lock screen,0,11.47.1,1: a very large percentage of the video i watch have to be close and_reopen on_my_ipad because the video just_freeze but the audio_keep play;<br>2: i'm_not_sure if i'm the only person_who have this_problem when watch youtube but before a_video when an_ad be play the ad will freeze i_can't press that play_button i_can't do_anything about it this mean that i generally can't_watch these video at_all this have only_happen with one add and that be the michael phelps add about his lab top;<br>3: i suddenly cannot seem_to be_able_to watch video at_all the video_will_load and_then the load ring will just hang for_a_few second and_then move again;<br>,10
