key,value,label,emerlabel,version,sent1,num
topic0,1.337317,keep crash; audio keep; cellular network,comment section; web browser; say something,11.30,1: please_fix_this problem it_seem other_user be also have the_same_problem;<br>2: i uninstalled instal still the_same_problem;<br>3: and the ipad i own have zero problem before;<br>,1
topic0,1.314862,wifi connection; last time; say error,0,11.34,1: hi my name be ms yvettemarie and when make my review i'm go_to be_honest and upfront cause that's what i do always honest with people yeah tell em straight me best way_to be i_reckon and the truth be i_reckon youtube be pretty slack because when_i try_to load a_video it_take a_good 10_minute to load and i_reckon it can't be issue_with my_wifi because i always_have sufficient wifi and so i'm guess the issue must_be on youtube's side which_be a_bite unfortunate because youtube as a very proud very strong black woman who descend from be part aboriginal malaysian and although very proud of my malay heritage i identify as be aboriginal very proud of my race and where i come_from and i only access your channel to educate myself on my wonderful history and culture of indigenous australia but i have to say i'm quite disappoint when your video take_forever_to load and so i would please ask that you rectify any issue you may_be encounter on your end thank so_much and overall i_reckon your_app be marvellous despite the problem i encounter try_to get the video to load so good one thank guy;<br>2: load slow_down much compare to last_time even be on strong wifi_connection;<br>3: even on a strong and fast wifi_connection it have problem load video however on the mobile site it be ok;<br>,2
topic0,4.422738,sub box; live stream; full screen,live stream; relate video; subscribe channel,11.35,1: can't_watch live_stream after they be post as the video rewinds after <digit> 30_second without_me do_anything;<br>2: i write this about <digit> month_ago and it still happen and more;<br>3: why be it <digit> yet there_be kid like mattyb and those idiot;<br>,3
topic0,1.234124,bring back; get stick; live stream,0,11.38,1: a majority_of user be use hd full hd or higher resolution display on their iphones and ipads over fast 3g and 4g lte connection and you still relegate us to_watch video that look_like it be encode with a potato;<br>2: whenever youtube release_an update the state of use wifi to stream video on the youtube app be so compare to other_apps on the ipad;<br>3: it's <digit> and we still_can't choose stream quality_over cellular connection;<br>,4
topic0,1.372793,channel art; use safari; social medium,0,11.39,1: i have_no idea what connection problem it's refer to since there_be_no problem_with my_wifi and i_can still browse the_app;<br>2: i_can still load video since_the update unlike a_lot_of other_people however occasionally i_cannot load a_video because_of connection problem;<br>3: every_time_i try_to upload channel_art for the banner it_say failure to upload;<br>,5
topic0,1.540172,long time; ipad air; keep get worse,0,11.41,1: i have use this_app for very long_time but_now i_cannot even use the_app as it cannot load my_account even i switch account it still_can't load;<br>2: i_love so_much this_app thank_for google to develop this wonderful app i never use any other_apps like this;<br>3: this have really change the way i use this_app negatively;<br>,6
topic0,1.848832,recommend section; subscribe channel; multiple time,0,11.43,1: i_know it's_not my_internet as i be_able_to watch other video such_as stream netflix in_hd;<br>2: i would watch youtube every_day but yesterday youtube video weren't play i_try to_watch ctop and vannos but no channel weren't woking pls_fix the problem;<br>3: app no_longer show what video you have watch in subscribe_channel;<br>,7
topic0,2.085901,many people; keep get; playback error,0,11.45,1: youtube be start to have load problem;<br>2: just load video upload in the_past <digit> hour limit;<br>3: every_video i_click_on load and pop_up but it won't actually start;<br>,8
topic0,1.603789,pathetic effort; obvious option; background playback,0,11.47,1: i like this_app because i_can watch video for hour but it slow_down my_internet because it use so_much data;<br>2: i_can skip to other part and it_doesn't load it just show that part but stay_on it wihout continue;<br>3: please_fix_this as i_can no_longer go_down a rabbit hole of youtube video;<br>,9
topic0,2.162139,keep say; use safari; try delete,0,11.47.1,1: my youtube won't_let_me log_in and keep_say try_again_later or_something and ik that my email and password be correct bc i use the_same <digit> to login on_my_laptop but it's_not work for my_ipod;<br>2: the_app have be update yet there_be feature on_my_iphone <digit> that work on it and not my_ipad <digit>;<br>3: i_try log_out and re_instal the_app but_nothing be work;<br>,10
topic0,1.468921,offline view; important thing; keep get,0,11.49,1: in this_app no_matter it's on_iphone ipad <digit>;<br>2: i'll never use your_app again i've be give you_guy a solid <digit> year to fix the issue of not_be_able to have youtube in the_background and still be_able_to listen_to whatever i'm watch on youtube;<br>3: and we_want it to be_able <digit> work when we_don't have wifi;<br>,11
topic0,1.643342,stop work; skip thing; keep crash,0,12.03,1: hate that you_can't minimize the screen and still listen_to whatever it be you're watch;<br>2: look_like whomever design the ui need_to be replace with someone_who understand modern interface design and can_see beyond the exist issue;<br>3: it work_fine on cellular connection bur doesn't_work on wifi at_all;<br>,12
topic0,2.506968,watch anything; bring back; useless feature,important thing; grey screen; useless feature,12.04,1: this_app use to work_fine_but ever_since i update it when_i try_to open the_app it just crash;<br>2: would throw ipad out and use pc instead but i downgrade the_app and it work flawlessly;<br>3: i_cannot even use the_app since_the last_update;<br>,13
topic0,1.826812,nothing happen; single video; full screen,single video; full screen; nothing happen,12.05,1: with ad that count down after 5secs and you_should be_able_to click the right edge of the siri remote it sporadically decide_to work and not_work;<br>2: the youtube apple_tv app need a_lot_of fix <digit>;<br>3: ability_to thumb up or down <digit>;<br>,14
topic0,1.933823,home page; spring day; single video,0,12.06,1: the audio have completely_stop work after the_new_update give today on my i phone <digit>;<br>2: after <digit> freak update it do_not fix the video problem it_keep_say something_go_wrong_tap to_retry and it_keep_say the_same_thing in every freak video gonna delete this_app now;<br>3: a_few problem <digit> home_page will automatically scroll up after i_click_on a_video <digit> the ad be overly repetitive and more often than not with not relevant <digit> i_can't play music in the_background overall the webpage could probably do the job just the_same if not better without have the_app;<br>,15
topic0,2.498479,ipad air; full screen mode; comment section,0,12.07,1: i've do a count and in 2_week i have to reset myapple ipad_air <digit> time to get_out_of full_screen_mode and watch more video so i_can get an education;<br>2: i have an internet speed of <digit> mbps and yet video_won't_play;<br>3: besides until the_latest upgrade which crash for_me like it do a_lot_of other ppl i_can_see <digit> vids live vids and regular vids just_fine;<br>,16
