key,value,label,emerlabel,version,sent1,num
topic0,1.556543,keep crash; get stick; long time,playback error; stupid message; web browser,11.30,1: le pub sont rendus de plus en plus nombreuses;<br>2: stupid playback_error be annoy and say no internet when_i'm sit beside the internet box be you kid_me;<br>3: after the update some video can't load up or cut_off halfway and buffer say_there_be no_connection;<br>,1
topic0,1.727174,wifi connection; last time; long time,wifi connection; say error; long time,11.34,1: hi my name be ms yvettemarie and when make my review i'm go_to be_honest and upfront cause that's what i do always honest with people yeah tell em straight me best way_to be i_reckon and the truth be i_reckon youtube be pretty slack because when_i try_to load a_video it_take a_good 10_minute to load and i_reckon it can't be issue_with my_wifi because i always_have sufficient wifi and so i'm guess the issue must_be on youtube's side which_be a_bite unfortunate because youtube as a very proud very strong black woman who descend from be part aboriginal malaysian and although very proud of my malay heritage i identify as be aboriginal very proud of my race and where i come_from and i only access your channel to educate myself on my wonderful history and culture of indigenous australia but i have to say i'm quite disappoint when your video take_forever_to load and so i would please ask that you rectify any issue you may_be encounter on your end thank so_much and overall i_reckon your_app be marvellous despite the problem i encounter try_to get the video to load so good one thank guy;<br>2: even on a strong and fast wifi_connection it have problem load video however on the mobile site it be ok;<br>3: load slow_down much compare to last_time even be on strong wifi_connection;<br>,2
topic0,1.733783,ipad mini; landscape mode; subscription fee,ipad mini; landscape mode; major problem,11.35,1: yes youtube have improve technologically yes_it's a_great haven for cat and dog video yes_it's easier_to upload content but the abuse and prove to be flaw copyright id system have terraformed this website into something of a mutate free to air television channel disrespect the_original version_of_youtube before google be unnecessarily mandate on user;<br>2: it would_really improve the youtube experience for us user if_you_could solve_this problem;<br>3: youtube be a very_good_app but if_u be upload on a ipad_mini u should_be_able to turn ur_device off a wait_for it to upload not keep it on and waisting charge please_make a update as_soon_as u see this;<br>,3
topic0,1.466969,get stick; bring back; take age,0,11.38,1: seem_to me a_lot_of people now can't_watch video due_to a bug include myself;<br>2: at the_end_of video it cut_off even_though there's more content to_watch;<br>3: but just recently there_be_a bug that won't_let_me watch video;<br>,4
topic0,1.372793,social medium; channel art; use safari,0,11.39,1: this social_medium egocentric stick your nose into everyone el business chat bull intrude into almost_every app and into almost_every part_of our live should_be a psychological worry to all intelligent people;<br>2: g when_i be sigh into my second account and upload a_video it upload on my_first account instead even_though i be sigh out_of_my first_account;<br>3: i_can_only upload on to one account e;<br>,5
topic0,1.460862,offline mode; long time; ipad air,0,11.41,1: it's bad_enough that_there_be ridiculous suggest search but to bring_up the hundred_of recently search thing instead be straight stupid;<br>2: recently there have be a_bug_where video_won't_play even_though it have be buffer and i have_good_wifi connection;<br>3: i've yet to leave a_good review on the youtube app sorry to winge but your_app bug me always_have;<br>,6
topic0,1.388442,comment chain; many time; double tap,0,11.43,1: the video on this_app don't_even play so you_could basically say your_app isn't_work at this point;<br>2: this_app be_very convenient though i_cannot find some_of the video i_want;<br>3: please_make this_app compatible with older io version;<br>,7
topic0,1.586799,full screen; keep crash; cellular data,0,11.45,1: it's bad_enough that_there_be ridiculous suggest search but to bring_up the hundred_of recently search thing instead be straight stupid;<br>2: in a <digit> min long video there_be about <digit> ad yes <digit> pop_up;<br>3: dear_youtube can i please start see video that be recently create by creator rather_than video from <digit> year_ago that quite frankly be lack in quality;<br>,8
topic0,1.604834,mise jour; double tap; try delete,0,11.47,1: depuis <digit> semaines je n'arrives pa regarder de vid_os sur youtube et pourtant ma copine qui a le m_me t_l phone que moi y arrive sans probl me;<br>2: je ne peux plus utiliser youtube car la mise_jour <digit> d cembre <digit> ne se t_l charge pa;<br>3: try_delete and_reinstall app but it didn't_work <digit> <digit>;<br>,9
topic0,4.798970,try delete; scrub bar; internet browser,third party; many time; free trial,11.47.1,1: you can't_watch video you get spam email i get shitty video recommendation;<br>2: every_time_i click_on_a video it just_say_something go_wrong_tap_to retry and when_i delete the_app then get it back it be still say it;<br>3: we can't_play video it's say there's_an_error but i get good_wifi all_my other_apps that require wifi work;<br>,10
topic0,1.490246,connection error; important thing; offline view,0,11.49,1: when the video i'm watch_a video half_way_through it freeze for_about <digit> minute then start play again sometimes it_doesn't play_at_all and i have to_close the tab and re_open it again;<br>2: take 10_minute to upload <digit> of a <digit> minute video;<br>3: the video time be not count up anymore and be stay_at <digit> when the video be play and ad that_you_can usually skip won't_let you because it's_not count down from 5_second;<br>,11
topic0,1.725442,full screen; party apps; stop change,0,12.03,1: this update be honestly the worst thing so_far it be annoy when_i accidentally_skip <digit> 30_second try_to go_out_of full_screen for something;<br>2: get_rid_of the feature be you double_tap_to go forward_or_backwards <digit> of_people hate this;<br>3: all_these weekly patch only serve to keep youtube at the top_of the chart with the horribly low average score of <digit>;<br>,12
topic0,1.746767,many bug; important thing; home page,0,12.04,1: why must you make bad_update u fix many_bug and earn a 5_star from me a_couple month_ago the annoy one where yt kick u out <digit> min into vid u fix_it and i be happy i suggest u fix these remain bug and any_other stupid thing and just let_us enjoy youtube also the new_feature where if_u tap_on leave or right side it_take u 10_sec ahead or back be_really_annoy;<br>2: the home_page be unorganized i_hate have to constantly readjust my hand to_navigate through subscription trend and homepage you should've just_leave that thing at the fvcin top;<br>3: the slide_bar thing be hard_to control screw the 10_second_skip and rewind;<br>,13
topic0,1.664668,double tap; single video; nothing happen,0,12.05,1: tho no one at youtube will see this i_could find a way_to disable the fast foward thing and if_you_can then it isn't easy enough;<br>2: ever_since i update youtube it's no_longer compatible with my_ipod <digit> even_though the detail say io_8_or later i be on_io_10;<br>3: hey video_aren't load say please_try_again;<br>,14
topic0,3.061144,mise jour; side bar; free time,mise jour; spring day; fix something,12.06,1: the new swipe_up feature for more video be annoy it's so pointless;<br>2: j'arrive m_me plus faire jouer une video probablement cause de pub qui ne se chargent pa j'aimerais que ce soit fixer au plus vite svp;<br>3: i use to think youtube be a_great app and an_awesome platform_for view video;<br>,15
topic0,1.808842,wanna watch; wont load; fix something,0,12.07,1: i'm ashamed to pay <digit> a_month for youtube_red;<br>2: ever_since last_update app crash <digit> time a day n there no tech support or e mail to help;<br>3: i give <digit> because if this be yt then i'm mad at them;<br>,16
topic0,3.632682,restrict mode; lgbt community; playback issue,0,12.09,1: but no you_guy decide_to make_us waste our time and piss us off;<br>2: but no you_guy decide_to make_us waste our time and piss us off;<br>3: except you don't see us as people like you and you make that clear;<br>,17
topic0,1.567683,pause button; double tap; pathetic effort,0,12.10,1: like <digit> min ago no video be work but i'm glad i'm_not alone;<br>2: please_make it so that i_can turn it off in the_next_update;<br>3: but no you_guy decide_to make_us waste our time and piss us off;<br>,18
topic0,2.006998,playback error; stupid message; watch anything,playback error; stupid message; web browser,12.11,1: le pub sont rendus de plus en plus nombreuses;<br>2: stupid playback_error be annoy and say no internet when_i'm sit beside the internet box be you kid_me;<br>3: after the update some video can't load up or cut_off halfway and buffer say_there_be no_connection;<br>,19
topic1,1.301483,get stick; make money; keep crash,say something; comment section; watch anything,11.30,1: everything be_fine_until today when_i update the_app and suddenly i_cant view the video_anymore only_thing mention be something_go_wrong_tap to_retry and re tap doesnt_work;<br>2: it keep_tell_me something_go_wrong_tap to_retry i tap it close the_app then back in and turn_off my_phone then go_back in;<br>3: it come_up and say_something thing go_wrong and to_retry it;<br>,1
