key,value,label,emerlabel,version,sent1,num
topic0,1.667817,home page; say error; third party,0,11.47.1,1: please_fix_this this be like the main function of_the app and it's break i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>2: i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>3: even i_try use web version also no use;<br>,1
topic0,1.827433,home page; wifi connection; watch video,0,12.06,1: new_update break the_app can't_play_any_video as_it just say there_be an_error while load video;<br>2: in_the case of_the youtube_app i_would like to say if_it's not break don't fix_it;<br>3: i've_try delete_and at reinstall the_app turn my_wifi on and off;<br>,2
topic0,1.522641,third party; save video; single video,0,12.07,1: the_app be good until they decide that they want_to act smart now see comment need_to minimize the video it's plain retard and all_the annoy tag fly in to distract u when u watch_a_video now thats a step back;<br>2: the longer the video i watch the further it scroll back up the fee;<br>3: litsen youtube this kid have be steel my content for way_to long he have even gotton some record software and stollen my video deleat his channel youtube be once good get_rid_of that son of a b tch;<br>,3
topic1,1.491159,wrong tap; wifi connection; single video,0,11.47.1,1: keep_say_something_go wrong_tap retry a_few_time and it start_to annoy_me and feel frustrate;<br>2: i_have retry many_time re install my app still_can't;<br>3: recently there have be a_bug where video_won't_play even_though it have be buffer and i_have good wifi_connection;<br>,1
topic1,1.554241,home page; internet connection; watch video,home page; internet connection; watch video,12.06,1: a_few problem <digit> home_page will automatically scroll up after i_click_on a_video <digit> the_ad be overly repetitive and more often than not with not relevant <digit> i_can't play music in_the background overall the webpage could probably do the job just the_same if not better without have the_app;<br>2: since the_last_update for youtube on_my_ipad yesterday <digit> <digit> <digit> the youtube_app do_not_play video_at_all on the my_ipad air_2;<br>3: however the_newest update <digit> feb <digit> be horrendous;<br>,2
topic1,1.522641,third party; save video; single video,0,12.07,1: i_would like to_see this_app back and operate as_it use to be and i_don't mind those format change as long as future update provide a better and more reliable platform to_watch entertainment;<br>2: i_have check it to_see if this have only be in recent vids but i go_back_to some old vids that i_know where in hd i'm quite disappoint in this since i enjoy have a smooth 60fps and clear video i_would really like to_see a return of hd video so as_soon as you_can youtube please_fix_this;<br>3: look like i_have to go_back_to use a third_party youtube_app again;<br>,3
topic2,1.495313,home page; say error; internet connection,0,11.47.1,1: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>2: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>3: not_sure if_it's a_glitch but video can't seem_to play_at_all or freeze midway through load;<br>,1
topic2,1.389806,save video; cant play; say error,0,12.06,1: can't_watch_anything all video when click_on jump to an_ad that doesn't even load then jump to the video which doesn't load and_then an_error say sorry something_go_wrong_tap to_retry;<br>2: new_update i_can't load video it_keep_say something_go_wrong_tap again and when_i_do it_say the_same_thing;<br>3: new_update break the_app can't_play_any_video as_it just say there_be an_error while load video;<br>,2
topic2,1.845391,watch video; single video; third party,0,12.07,1: ad play mid video then doesn't_play the_rest of_the video and other tedious issue;<br>2: two when there_be an_ad mid video the_ad will play and once the_ad be finish the_rest of_the video do_not load and i_have to force close the_app and restart all over again;<br>3: can't view video as the_ad won't_play so it's stick on the_begin of_the add even_though it's fully load;<br>,3
topic3,1.362546,third party; internet connection; cant play,0,11.47.1,1: the algorithm for recommend video be_completely mess_up and sometimes show completely unrelated video in certain category;<br>2: hi history be_not save n once stop the video be_not start from there;<br>3: ever_since_the update the video occasionally do_not_play and it_say oops something_go_wrong;<br>,1
topic3,2.093218,say error; watch video; wifi connection,say error; watch video; wifi connection,12.06,1: whenever_i try it either say_error or an_ad pop_up and won't_play;<br>2: i keep get a message say_something_go_wrong whenever_i try_to_play a_video;<br>3: whenever_i try_to like a_video and i_need_to refresh it it_doesn't keep the like and doesn't let_me re like it;<br>,2
topic3,1.752809,watch video; keep show; third party,0,12.07,1: i_cant watch_any_video this notification always pop_up go_wrong_tap_to retry i_have a_good connection and uninstalled the_app but nothing work;<br>2: after i update the_app i_can't_watch video;<br>3: the_app be continuously on and off like sometimes it'll work and sometimes it won't;<br>,3
topic4,1.500884,third party; watch video; wifi connection,0,11.47.1,1: could not remove the account after sign_in once though i sign out;<br>2: i_can sign_in to my friend's account simply by choose_the account without password after they have sign_in once and sign out;<br>3: use to have an_option to remove account after sign_in;<br>,1
topic4,1.827433,home page; watch video; wifi connection,0,12.06,1: i use to enjoy watch_youtube because it be so easy_to_use but have a terrible layout;<br>2: also i_can't watch_a_video without get an_ad at_the start;<br>3: wish the team could look into it;<br>,2
topic4,1.846897,watch video; double tap; third party,0,12.07,1: honestly the_first time this_app have crash on me;<br>2: however i'm constantly do many thing at one time on_my_ipad;<br>3: youtube randomly crash ever_since_the new_update;<br>,3
topic5,1.127472,internet connection; cant play; mobile data,0,11.47.1,1: video aren't play try skip forward refresh the_app but it's constantly sick on <digit>;<br>2: there's a_bug for my_phone that i_can't_watch_any video it_will just_freeze there and it have be <digit> 3days;<br>3: <digit> <digit> <digit> <digit> just unable_to_play video;<br>,1
topic5,1.374983,cant play; internet connection; say error,0,12.06,1: every_time you_get to the_home tab video show_up for a_bite then when_you scroll_down a_video every_video on the page disappear this have be happen for the_last <digit> update;<br>2: i look in_my like video thing and the video isn't there;<br>3: after download the_new_update my video wouldn't load and it keep_tell_me to tap_to_retry but it's not_work;<br>,2
topic5,1.877592,third party; watch video; save video,0,12.07,1: give us an_option open link in_the browser;<br>2: and stop pretend that you have give us that option press the icon in_the top right as instruct in_the application release note leave the video play in_the background how be that a_good outcome;<br>3: when research with multiple tab open it's far easier to have youtube link open_in the browser;<br>,3
topic6,1.393717,mobile data; third party; wifi connection,0,11.47.1,1: after this_happen a_few_time i get an_error_message that something_go_wrong if possible please_fix_this thank_you;<br>2: after this_happen a_few_time i get an_error_message that something_go_wrong if possible please_fix_this thank_you update this_happen wherever i access youtube from mobile even when not in app update again the video play on wifi but not on 3g mobile_data;<br>3: youtube on iphone be get from bad to worse;<br>,1
