key,value,label,emerlabel,version,sent1,num
topic0,1.588164,right hand; audio keep; many time,0,11.30,1: work pretty well without_any major bug_or issue i be just wonder_if a 1080p 2k 4k video quality option will be add to the_app;<br>2: i have heap_of playlist on youtube so that i_can just let it play and it won't stop and this work;<br>3: then that play for a minute_or so then the video change again to another random vid on the right_hand side recommendation and so it go_on;<br>,1
topic0,1.314862,wifi connection; say error; last time,0,11.34,1: even on a strong and fast wifi_connection it have problem load video however on the mobile site it be ok;<br>2: i attempt_to view_any_video all i get be a_message at_the_bottom that say_error while load video what's the_point_of have youtube if_you cannot_even view anything in_my_subscription;<br>3: hi my name be ms yvettemarie and when make my review i'm go_to be_honest and upfront cause that's what i do always honest with people yeah tell em straight me best way_to be i_reckon and the truth be i_reckon youtube be pretty slack because when_i try_to load a_video it_take a_good 10_minute to load and i_reckon it can't be issue_with my_wifi because i always_have sufficient wifi and so i'm guess the issue must_be on youtube's side which_be a_bite unfortunate because youtube as a very proud very strong black woman who descend from be part aboriginal malaysian and although very proud of my malay heritage i identify as be aboriginal very proud of my race and where i come_from and i only access your channel to educate myself on my wonderful history and culture of indigenous australia but i have to say i'm quite disappoint when your video take_forever_to load and so i would please ask that you rectify any issue you may_be encounter on your end thank so_much and overall i_reckon your_app be marvellous despite the problem i encounter try_to get the video to load so good one thank guy;<br>,2
topic0,2.389557,live stream; relate video; right hand,0,11.35,1: when_i try_to watch video the ad and the video won't actually play;<br>2: i like to_watch live_stream but when_i start watch the live_stream the video just restart fix_this;<br>3: video still stop and cannot be play again;<br>,3
topic0,1.466969,take age; get stick; bring back,0,11.38,1: seem_to me a_lot_of people now can't_watch video due_to a bug include myself;<br>2: i've_try listen_to other youtube like apps or video play apps and still find the_same_problem;<br>3: because it's happen to all video play apps;<br>,4
topic0,1.496248,multiple time; pause button; use safari,0,11.39,1: reoccurring issue since_the last_update video add load_but won't_play some day it will work then next they won't multi bil company would think this_issue would have be resolve immediately by now smh;<br>2: the video would load_but it wouldn't ever start play;<br>3: except_for this one_thing video cannot be play in the_background;<br>,5
topic0,1.497697,keep freeze; long time; find anything,0,11.41,1: ok_so my_internet work_fine_but there's_a bug_or something that load video and_then they_don't play;<br>2: i_can't_even play the video even_though it be load;<br>3: can't control anything 5_second after video load;<br>,6
topic0,1.794145,recommend section; subscribe channel; get stick,0,11.43,1: i_know it's_not my_internet as i be_able_to watch other video such_as stream netflix in_hd;<br>2: video that i've already watch aren't be mark as view anymore;<br>3: the video be_unable_to play despite them be_able_to load;<br>,7
topic0,1.592558,many people; something wrong; sub box,0,11.45,1: i too receive the load error when try_to watch most video;<br>2: this be an_amaze app until the update come because i_can't_even watch one video it just_sit_there load the_whole time please_fix_this because i_love watch youtube;<br>3: since_the last_update i_cannot watch video i get the add if i be lucky but then it won't download the video then i get the message error;<br>,8
topic0,1.608920,scrub bar; side bar; audio keep,0,11.47,1: latest_up date prevent video from play even ad video;<br>2: no video i've_try have play even the ad freeze;<br>3: even the ad won't_play and after i get_rid_of the ad by click_on multiple video the video itself won't_play;<br>,9
topic0,2.854554,audio keep; scrub bar; internet connection,0,11.47.1,1: i_can't play video now i open the_app click_on_a video and_then it stop load after <digit> second and_then close the_app;<br>2: i suddenly cannot seem_to be_able_to watch video at_all the video_will_load and_then the load ring will just hang for_a_few second and_then move again;<br>3: i suddenly cannot seem_to be_able_to watch video at_all the video_will_load and_then the load ring will just hang for_a_few second and_then move again;<br>,10
