key,value,label,emerlabel,version,sent1,num
topic0,1.400156,audio keep; right hand; subscription page,0,11.30,1: my video would stop sometime for a split second and it cause the audio and video to not match;<br>2: nearly everyvideo be keep_on stop sync_with video and sometimes it stop the video play from the start but the audio still go_on;<br>3: this last_update cause nearly every_video i watch to have audio video desync issue a_few_minute in;<br>,1
topic0,1.573732,make sense; billion dollar; audio continue,0,11.34,1: i_can't reply_to a person_who comment on someone original comment i_can_only reply_to the_original comment please_fix_this when_i like a_video and_then click off the video and_then click_on it again my like be go when_i give a_video a thump up or a dislike after i refresh the page the like be go;<br>2: when_i play a_video the video skip to the start again while the remain audio play on;<br>3: can_you stop recommend live video even_when i say not_interest and when_i watch_a video to with something do_not mean i what it on my recommend list and lastly when_i reload the page i expect new video not just the_same video with one video difference;<br>,2
topic0,3.225499,comment thread; many people; main thing,comment thread; many people; sub box,11.35,1: yes you_could pay <digit> a year to remove them but only worth_it if_you use the_app a_lot;<br>2: do consider get an_ad blocker if_you use this_app to spare you from any headache it will undoubtedly cause;<br>3: it be ruin our app and the update which require ios8 to use this_app be_ridiculous;<br>,3
topic0,2.077688,bring back; bug fix; live stream,bring back; take age; get stick,11.38,1: every_time_i want_to_watch a_video the ad load perfectly but not the_actual video if i_want_to watch the_actual video i would have to wait_for about a minute just so it could start and_then it'll buffer until it finish;<br>2: youtube have always be a_great application for watch video until a_few update_ago about <digit> minute into the video the footage would start again but the audio would countinue;<br>3: when_i try_to watch_a video it will_play until about half_way and_then it will skip the picture to the near the end but the sound will_still be where i be still watch and_then when_i try_to put skip it back_to where i be it just go_to the start;<br>,4
topic0,0.996984,slide bar; rewind button; social medium,0,11.39,1: i_can then reply_to your reply from my_first reply_to your reply and_then you_can re_reply so i_can re_reply to your re replay and_then we_can become life time friend because we_have reply and re_reply all_day long;<br>2: i_can_only give it one_star because i_can't reply_to reply_to a reply_to a reply_to a reply_to a reply or even_worse still i_can't reply_to a re_reply;<br>3: can someone send_me a reply so i be reply_to your reply instead_of watch my youtube video;<br>,5
topic0,1.523579,home button; keep get worse; long time,0,11.41,1: why_do u make it <digit> i watch nothing violent just sometimes put it to <digit>;<br>2: please_fix_this bug and it would also be_very helpful if_you could_give us an_option_to use an_older_version of the_app;<br>3: cause <digit> also mean mature audience it mean m rat;<br>,6
topic0,1.582561,next time; use safari; home page,0,11.43,1: so disappoint the_new_update make it that the video_won't_play at_all so now i delete it and be hop that it'll get fix next_time i get it;<br>2: i_can't believe that they make so_much money but can't fix their app faster;<br>3: why_do_you make the_app worse and worse every_time you create some trash update;<br>,7
topic0,1.569971,cellular data; side bar; many people,0,11.45,1: i_don't_know if this be because_of the update or my_internet_connection but by judge the other comment here and see_how none_of my_other_apps or internet stuff be affect please_fix_this bug;<br>2: if i_know this feature would have be remove i'd not have update it;<br>3: i really prefer_the old format with the subscription on the leave side_bar with the dark color it be much_easier to use and easier on the eye;<br>,8
topic0,1.836675,scrub bar; double tap; third party,0,11.47,1: the watch next tab be completely miss now <digit>;<br>2: i miss it cause it always help_me find good relate_video;<br>3: should have make this_app to require io <digit> because most people don't have newer phone and can't afford them;<br>,9
topic0,1.944361,third party; playback issue; next time,0,11.47.1,1: please_fix_this this be like the_main function of the_app and it's break i'm currently use vpn but it shouldn't_be a problem because the connection be there;<br>2: click it to open and the_app drop i have to wait awhile until i_can finally use it without it crash on me;<br>3: i've go as far as to reinstall the_app and restart_my_device but the problem still persist;<br>,10
topic0,1.471570,message say something; keep get; revert back,0,11.49,1: consider the_whole point_of the_app be to_watch youtube i will be delete this_app if this do_not get fix;<br>2: after the_new_update i basically get a one in one million chance to_watch a_video even_if i'm in a wifi area;<br>3: a_video work for <digit> minuet than every_video have an_error thing on it;<br>,11
topic0,1.929335,double tap; stop change; pause button,0,12.03,1: i keep_accidentally double_tap the leave and right side_of_the screen why_do_you think this would improve the_app it be just_fine a_few_day_ago;<br>2: look youtube this double_tap_to go forward_or_backwards 10_second would be a_good idea if it didn't take_up the_whole screen;<br>3: every_time_i open_up the quality tab i have to scroll_down before u didnt good update just small tweak to make better and it also feel very_slow;<br>,12
