key,value,label,emerlabel,version,sent1,num
topic0,1.212213,many time; keep press; billion dollar,0,11.30,1: frequently get play back error and can't be fix even on good_wifi also when_i try_to rotate the screen it don't rotate many_time it's_annoy after a_while;<br>2: why when_i open this_app it_say it's_not connect even_when my_internet be work_perfectly_fine and all other_apps that need internet work_fine;<br>3: it fix itself within a_few_second but it's_annoy;<br>,1
topic0,1.599742,make sense; billion dollar; web browser,0,11.34,1: <digit> but still can be download with io_7;<br>2: <digit> but_now it_say i need_to upgrade to io_8;<br>3: <digit> before i_can download youtube again;<br>,2
topic0,2.853738,subscribe channel; several time; sub box,subscribe channel; sub box; keep write,11.35,1: when_i click_on_a channel in_my_subscription i have to tap_on it several_time for it to actually get onto the channel;<br>2: youtube be such_a good_app for device but the_newest_update make it not the_best when_i try_to click_on_a channel in the subscribe bar it_doesn't go_into there channel so i have to search up there channel and it_take more time;<br>3: when_i click a channel it won't_show there page;<br>,3
topic0,1.223582,get stick; bug fix; bring back,0,11.38,1: there's_a glitch in the_new_update where video_won't_play anymore it's some_thing youtube need_to fix_asap;<br>2: it happen since_yesterday and it work at time but most_of_the time it_doesn't play anything please_fix it;<br>3: what_happen_to the up_next feature since i update youtube it's_not there anymore;<br>,4
topic0,1.360998,multiple time; pause button; channel art,0,11.39,1: when_i click_on_a video to_watch it it_say it be play but it isn't show pause_button lead me to have to reinstall youtube multiple_time a day;<br>2: when_i click_on_a video to_watch it load_but doesn't_play;<br>3: this_bug defeat the purpose_of youtube by not_be_able to_watch video;<br>,5
topic0,1.491356,search history; find anything; ipad air,0,11.41,1: when_i search stuff and more and more it's_annoy it stay_there and i wanna get it remove private stuff i do but i don't_want anyone to_see it you know_what i mean;<br>2: so i_try to log_in with my_account and i_can't log_in i_try delete it to fix the problem but it_doesn't do the trick;<br>3: i_try delete and_reinstall the_app but that do_nothing;<br>,6
topic0,1.798282,subscribe channel; recommend section; auto lock,0,11.43,1: i_know it's_not my_internet as i be_able_to watch other video such_as stream netflix in_hd;<br>2: video that i've already watch aren't be mark as view anymore;<br>3: i also hear that some_people be_able_to watch these video so how come people like me be stick_with this_problem;<br>,7
topic0,1.586799,keep crash; full screen; cellular data,0,11.45,1: even_though people don't_like the_new_update i still think_it's a_great app before and still be a awesome app to_watch your vids and even make your_own so i don't_mind it;<br>2: you still have not fix the error about the channel banner not_be_able to upload and in top_of that now i_can not_even change_my profile picture anymore;<br>3: please_fix it banner and profile picture make a channel good;<br>,8
topic0,2.030117,relate video; skip forward; live stream,0,11.47,1: i just get back on to_watch youtube and i watch_a vid and guess_what;<br>2: i delete youtube and get it again and same_thing_happen;<br>3: i be not get anything where my suggestion should_be the occasional add will pop_up there but no suggestion;<br>,9
topic0,1.856471,channel name; many time; subscription fee,0,11.47.1,1: i_can't view my_sub_box however everything_else work;<br>2: i_try delete and redownloading and it_still_doesn't work;<br>3: if_you have the_new_update for your ipad or other thing that's what cause the problem i_can't connect_to internet anymore except_for today it be weird and look_at my youtube channel_name madcowmoves you_can call me mr;<br>,10
topic0,1.886188,multiple time; audio continue; fix something,0,11.49,1: so i_try many way yet i_couldn't watch my video for certain time;<br>2: youtube please update and fix the bug it_won't_let me watch video and this be what it_say in my_screen when_i click any frikin video something_go_wrong_tap to_retry okay not ganna be a person_who like delete it and rage mode but it would mean the heart to me if_you_guy could update it thank henna;<br>3: second time it connect pull old video that i have already watch couldn't add anymore video to queue and disconnect;<br>,11
topic0,1.872194,wont load; nothing happen; party apps,0,12.03,1: most if not all the time video wont_load when they can work in 3rd party_apps;<br>2: whenever_you click_on_a video it_say_something go_wrong click to_retry i've tap a dozen time and nothing_happen;<br>3: video_aren't work when_i click to_watch them;<br>,12
topic0,2.051302,wrong tap; double tap; pause button,0,12.04,1: when in_full_screen tap the vid be really_slow delay but double_tap be_fine and plz go_back_to the_old one plz where u touch the screen it's instant;<br>2: ever_since_the most_recent_update on february 4th when_i go_into the_app the screen shift so that it only take_up half_of my_ipad screen and it will_not go_back_to normal;<br>3: when in_full_screen tap the vid be really_slow delay but double_tap be_fine;<br>,13
topic0,1.346223,full screen mode; single video; something's wrong,0,12.05,1: ever_since_the new_update i have be_unable_to search_for anything as the_app would just_say unavailable tap_to_retry;<br>2: video's won't_load with new_update and it be impossible_to watch on youtube now;<br>3: whenever_i_try to_watch a_video it_say there's_an_error;<br>,14
topic0,2.050119,say error; home button; keep get,0,12.06,1: new_update i_can't load video it_keep_say something_go_wrong_tap again and when_i do it_say the_same_thing;<br>2: i lose my_account when_i enter when_i try_to log_in back my_password will_not_work;<br>3: when_i tap_on a_video to_watch it it start to load_but then it_say_something go_wrong;<br>,15
