key,value,label,emerlabel,version,sent1,num
topic0,1.212213,many time; keep press; billion dollar,0,11.30,1: frequently get play back error and can't be fix even on good_wifi also when_i try_to rotate the screen it don't rotate many_time it's_annoy after a_while;<br>2: everytime_i watch_a video the screen try_to turn_off i have to keep_press the screen to turn back on;<br>3: it fix itself within a_few_second but it's_annoy;<br>,1
topic0,1.402314,say error; wifi connection; long time,0,11.34,1: i attempt_to view_any_video all i get be a_message at_the_bottom that say_error while load video what's the_point_of have youtube if_you cannot_even view anything in_my_subscription;<br>2: even on a strong and fast wifi_connection it have problem load video however on the mobile site it be ok;<br>3: load slow_down much compare to last_time even be on strong wifi_connection;<br>,2
topic0,3.460002,live stream; relate video; right hand,live stream; auto play; top comment,11.35,1: when_i try_to watch video the ad and the video won't actually play;<br>2: try_to play a live video crash the_app;<br>3: i like to_watch live_stream but when_i start watch the live_stream the video just restart fix_this;<br>,3
topic0,1.466969,take age; get stick; bring back,0,11.38,1: the quality be horrendous even ad now be in poor quality video take_age to load and even longer to load 720p focus less on add new_feature and more on fix the one we've get seriously youtube get a grip;<br>2: keep it at auto by default but give_us the option_to choose higher if_we_want;<br>3: it's_really get annoy and on my nerve;<br>,4
topic0,1.596210,multiple time; pause button; social medium,0,11.39,1: after_update i_could watch video only for_a_few time and later on all video could be load properly but the video continue_to be_stick_at <digit>;<br>2: please_make it so the screen doesn't time put while_i'm watch video it's_very_annoy to have to touch my_screen especially when watch long video or music video;<br>3: can't_play video but the load seem smooth please_fix_this_asap;<br>,5
topic0,1.484441,home button; keep freeze; find anything,0,11.41,1: it only say watch till you've watch the full video;<br>2: you_can watch your favourite youtuber from wherever you be if_you have wifi;<br>3: add be refuse_to load so i_can skip_them prevent me from watch video;<br>,6
topic0,1.692601,next time; internet connection; keep freeze,0,11.43,1: youtube keep change the model on_io and finally they get it right and it be good_but then they change it again to this garbage and now it's so_much less smooth;<br>2: youtube still_doesn't_work on_io this be get ridiculous youtube should_be fix be now i should have a_problem_with it freeze;<br>3: can_you please put it back_to the one before that you message hole update up it's just garbage now be that do you_guy_should a leave keep the sweep function it so just change it back_to the_original that's it;<br>,7
topic0,1.341085,wont let; load circle; wont load,0,11.45,1: i too receive the load error when try_to watch most video;<br>2: this be an_amaze app until the update come because i_can't_even watch one video it just_sit_there load the_whole time please_fix_this because i_love watch youtube;<br>3: most video that i_click_on won't_load it's_really_annoy because i have to skip video i really_want_to watch;<br>,8
topic0,2.540750,scrub bar; skip forward; auto play,0,11.47,1: i keep have to tap my_screen when_i watch video so my_screen doesn't go black;<br>2: also_why be the suggest video box so damn big that they cover the_entire view screen when_you be watch the_last_few second_of a clip;<br>3: it's_not just the video i'm watch either once the sound be go it's go;<br>,9
topic0,2.846619,relate video; subscription tab; get stick,0,11.47.1,1: i always watch my video from there and it_keep_say error while load tap_to_reload fix please it's so_annoy;<br>2: we can't_play video it's say there's_an_error but i get good_wifi all_my other_apps that require wifi work;<br>3: please_fix ive get a problem when_ever i minimise the vid and drag it down to the_bottom right corner it go all the way up the_top leave of my_screen and if i tap another video it go_back_to the_same video please_fix;<br>,10
topic0,1.878724,grey screen; connection error; audio keep,0,11.49,1: that be say it connect_to youtube and play video audio;<br>2: it always a error have_occur i_can't_even watch my_own video;<br>3: it's a_good app but it play so_many advertise in the video;<br>,11
topic0,1.837881,wont load; party apps; audio continue,0,12.03,1: this new_update be super_annoy and i keep skip_ten_second of the video on accident and_it's_really distract;<br>2: most if not all the time video wont_load when they can work in 3rd party_apps;<br>3: all the time the video make robotic noise and you cant understand what you're watch;<br>,12
topic0,2.415891,double tap; tap twice; skip forward,0,12.04,1: since there_be button on the leave and right of the video that take_up more_than <digit> 9ths of the screen every_time you don't tap in the exact middle column it will take more_than 1_second for the control to show_up;<br>2: when in_full_screen tap the vid be really_slow delay but double_tap be_fine and plz go_back_to the_old one plz where u touch the screen it's instant;<br>3: listen i_love_youtube good_job on keep the system up and run awesome also can_you remove that double_tap leave and right on the screen to go forward in the_latest_update please it annoy_me when_i hit it by_accident and please_make so that when the screen go dim can_you please_make that not happen until like 30minutes please that's_all and thank_you_for read this keep up the good work;<br>,13
topic0,1.448134,full screen mode; watch vids; single video,0,12.05,1: be any problem_with watch video on an_app that be main purpose be to_watch video;<br>2: whenever_i_try to_watch a_video it_say there's_an_error;<br>3: whenever_i_try to_watch a_video it_say there's_an_error;<br>,14
topic0,1.858644,home button; nothing happen; terrible layout,0,12.06,1: com click_on_a vid than click the home_button when your in the_home_screen swipe_up where u_can get the flashlight and stuff than swipe right the unpause the video from there;<br>2: that be what i get when_i try_to watch video on my i phone it_doesn't_work fix_this_please;<br>3: when_i try and watch_a vid it_keep_say error tap_to_retry i do and nothing_happen;<br>,15
topic0,2.100765,cellular data; stop work; double tap,0,12.07,1: my_data usage go over the roof every month;<br>2: and before you ask yes i have wifi internet coverage pull your game up youtube;<br>3: don't go near this cancerous piece_of garbage;<br>,16
topic0,2.091238,lgbt community; scrub bar; main thing,0,12.09,1: wtf i_can't_even watch video my_wifi be super_fast too;<br>2: after the_last_update i_can't_even watch video at_all they_don't load;<br>3: no_matter_what the video do_not_play it always_have the tap_to_retry screen and it so_annoy;<br>,17
topic0,1.612503,background playback; double tap; playback issue,0,12.10,1: i'm_not one to right review but ever_since_the new_update i have not_be_able to_watch a_single_video;<br>2: the most obvious of all be the lack_of option_to change playback quality while on data and background_playback ability;<br>3: how_do i turn_off the 10_second_skip by double_tap the screen;<br>,18
topic0,1.524688,keep get; error message; say something,0,12.11,1: video spend about_3 5min buffer before play;<br>2: no video be play anymore and i keep_get the message_something_go wrong;<br>3: and it also doesn't have the option_to play music when_you wanna exit the all and do sth meanwhile which_be a pretty basic feature for music apps;<br>,19
topic1,1.301483,get stick; make money; keep crash,0,11.30,1: pretty bad app in some respect but it's youtube so i_can't bag it out too_much since i use the_app heap but my advice be to release the monkey you're use to update this_app back_into the wild and hire some human developer for the_app;<br>2: pretty bad app in some respect but it's youtube so i_can't bag it out too_much since i use the_app heap but my advice be to release the monkey you're use to update this_app back_into the wild and hire some human developer for the_app;<br>3: visual sometimes black out generally a frustrate and unpleasant experience to use the_app but i don't have a choice but to use it so;<br>,1
topic1,1.467455,long time; web browser; use safari,0,11.34,1: <digit> <digit> <digit> this_app no_longer_play video it only play advertisement it show various advertisement then when it be time for the <digit> and only video to load it give an_error and play another ad;<br>2: the_new_update seem_to have create a time out where it shut off after about <digit> 30_second of play a_video;<br>3: i'm at a point where i_can't_even be stuff use this stupid bug ride app;<br>,2
topic1,1.721490,many people; subscription section; web browser,0,11.35,1: i really do enjoy use this_app but in the_latest_update it have be really buggy_as i_can not select on the channel in_my_subscription it instead take to my_subscription_box with all_my channel i subscribe_to;<br>2: it be ruin our app and the update which require ios8 to use this_app be_ridiculous;<br>3: would highly appreciate an_update soon i use youtube for education purpose if_you're wonder;<br>,3
topic1,1.077934,bug fix; subscription list; take age,0,11.38,1: seem_to me a_lot_of people now can't_watch video due_to a bug include myself;<br>2: s plz give option_to skip all add longer then 5_second or_at_least all 30_second_ad iv have to resort to watch_vids_on safari not_impress;<br>3: yeah your bug_fix give my youtube a bug;<br>,4
