key,value,label,emerlabel,version,sent1,num
topic0,1.556543,long time; keep crash; get stick,watch anything; stupid message; wrong tap,11.30,1: you_guy have one job make a work app be you_guy even try;<br>2: please_fix_this problem it_seem other_user be also have the_same_problem;<br>3: please_fix_this or make a better youtube app;<br>,1
topic0,1.541531,whats wrong; make sense; billion dollar,0,11.34,1: hi my name be ms yvettemarie and when make my review i'm go_to be_honest and upfront cause that's what i do always honest with people yeah tell em straight me best way_to be i_reckon and the truth be i_reckon youtube be pretty slack because when_i try_to load a_video it_take a_good 10_minute to load and i_reckon it can't be issue_with my_wifi because i always_have sufficient wifi and so i'm guess the issue must_be on youtube's side which_be a_bite unfortunate because youtube as a very proud very strong black woman who descend from be part aboriginal malaysian and although very proud of my malay heritage i identify as be aboriginal very proud of my race and where i come_from and i only access your channel to educate myself on my wonderful history and culture of indigenous australia but i have to say i'm quite disappoint when your video take_forever_to load and so i would please ask that you rectify any issue you may_be encounter on your end thank so_much and overall i_reckon your_app be marvellous despite the problem i encounter try_to get the video to load so good one thank guy;<br>2: this be_useful_for long road trip long plane rid or to save any data leave;<br>3: dan howell might be no_more in a_week if_u don't;<br>,2
topic0,1.926336,subscribe channel; several time; sub box,subscribe channel; sub box; several time,11.35,1: youtube be such_a good_app for device but the_newest_update make it not the_best when_i try_to click_on_a channel in the subscribe bar it_doesn't go_into there channel so i have to search up there channel and it_take more time;<br>2: when_i try_to click_on my subscribe_channel to view video the_app doesn't select that specific channel and just show the all channel section;<br>3: when_i click_on_a channel in_my_subscription i have to tap_on it several_time for it to actually get onto the channel;<br>,3
topic0,2.077688,live stream; get stick; bring back,take age; get stick; bug fix,11.38,1: it happen since_yesterday and it work at time but most_of_the time it_doesn't play anything please_fix it;<br>2: it's happen to a_lot_of people i_know and now it's just annoy;<br>3: if it hasn't happen to you it probably won't know it;<br>,4
topic0,1.596210,multiple time; pause button; social medium,0,11.39,1: surely all the ad i'm force to_watch raise enough revenue consider google be one_of if not the company with the highest profit on the planet;<br>2: in the_latest_version of youtube i have find that all video i_try to_watch will_not_load for_me;<br>3: when_i click_on_a video to_watch it it_say it be play but it isn't show pause_button lead me to have to reinstall youtube multiple_time a day;<br>,5
topic0,1.582462,ipad air; find anything; home button,0,11.41,1: netflix and tv channel be work so i don't believe it's a wifi issue;<br>2: when your use wifi you_can select the quality of the video you be watch but when you're on your_own data you_can't and that really chew up your data sometimes cause it will_load it in_full resolution;<br>3: a_lot_of people have unlimited data plan and this be_ridiculous that i be restrict to low quality video;<br>,6
topic0,1.564077,revert back; use safari; get notification,0,11.43,1: it_doesn't even work for_me now;<br>2: app be super slow on a_new iphone and hardly work on older ipad;<br>3: i_love_youtube but_for_some reason over the_past_few day it have not be work;<br>,7
topic0,1.569971,cellular data; side bar; many people,0,11.45,1: you still have not fix the error about the channel banner not_be_able to upload and in top_of that now i_can not_even change_my profile picture anymore;<br>2: also_why tf do i get notify for every channel upload;<br>3: have check wifi_connection have_no issue on other_device;<br>,8
topic0,1.353575,mise jour; background playback; pathetic effort,0,11.47,1: pourquoi je n'arrive pa lira le vid_os;<br>2: depuis <digit> semaines je n'arrives pa regarder de vid_os sur youtube et pourtant ma copine qui a le m_me t_l phone que moi y arrive sans probl me;<br>3: my side_bar have disappear i have restart_my_ipad and_re_download the_app but it still be a problem;<br>,9
topic0,3.913168,full screen; try delete; internet browser,full screen; get stick; internet browser,11.47.1,1: luv the_app but it_doesn't_work anymore i have redownloaded it <digit> time and i still_can't get a_video to play;<br>2: we can't_play video it's say there's_an_error but i get good_wifi all_my other_apps that require wifi work;<br>3: thank_a_lot you make one_of my_favourite pass time into crap;<br>,10
topic0,1.362844,nothing happen; internet browser; landscape mode,0,11.49,1: i've_try_everything and nothing's work please_fix_this;<br>2: my app say my_tv cannot be find even after i_try key in the code same wifi still not_work;<br>3: i even delete the_app and_reinstall but the problem of not actually play_any_video be still an_issue;<br>,11
topic0,1.872194,party apps; wont load; nothing happen,0,12.03,1: i would_really appreciate it if_you_could fix_this thank_for takeoff your time to read this;<br>2: while it be still possible to drag the time bar the bar be so small you almost inevitably tap the screen and rewind fat forward;<br>3: a_lot_of time i open youtube and load a_video and it_doesn't_work it_say tap_to_retry even_though i'm_connect_to internet;<br>,12
topic0,3.352067,watch anything; bring back; keep press,lock screen; wanna watch; wrong tap,12.04,1: most use app on_my_phone now it_doesn't_work at_all;<br>2: it cut_off a_lot_of content and i be basically unable_to use the_app at_all;<br>3: you_need_to bring_back option for change resolution when use data;<br>,13
