key,value,label,emerlabel,version,sent1,num
topic0,1.667817,home page; third party; say error,0,11.47.1,1: please_fix_this this be like the main function of_the app and it's break i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>2: i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>3: the_app hasn't be work properly and it be break many people have be write review report the issue i suggest youtube to take action or tell everyone that it be break and be go through repair;<br>,1
topic0,2.068672,home page; watch video; say error,0,12.06,1: after download the_new_update my video wouldn't load and it keep_tell_me to tap_to_retry but it's not_work;<br>2: i use to enjoy watch_youtube because it be so easy_to_use but have a terrible layout;<br>3: one_of_the biggest social medium app but so shitty;<br>,2
topic0,1.752809,watch video; keep show; third party,0,12.07,1: every_time_i tap_on a_video it won't_load i then have to delete the_app and_then install it_again;<br>2: please_fix your problem or if not yours tell io apple to fix their problem;<br>3: the_new_update generally make the_app worse;<br>,3
topic1,1.585176,wrong tap; watch video; third party,0,11.47.1,1: this be frustrate my_youtube keep_show_something_go wrong_tap to reply whenever_i play the video;<br>2: the_app itself be also so_laggy and glitchy that it be bind to crash within minute upon startup and this_happen on all device regardless of brand;<br>3: keep_say_something_go wrong_tap retry a_few_time and it start_to annoy_me and feel frustrate;<br>,1
topic1,1.566923,watch video; wifi connection; cant play,0,12.06,1: every_time you_get to the_home tab video show_up for a_bite then when_you scroll_down a_video every_video on the page disappear this have be happen for the_last <digit> update;<br>2: i swipe up the_app and i lose my channel and every person i subscribe_to just disappear and i_have to create a_new channel;<br>3: i_think my_phone be have_trouble i off my_wifi delete background apps do it_again same_thing happen;<br>,2
topic1,1.877592,watch video; third party; save video,0,12.07,1: the_screen keep_on say_something_go_wrong what the heck i keep try but nothing happen;<br>2: i_cant watch_any_video this notification always pop_up go_wrong_tap_to retry i_have a_good connection and uninstalled the_app but nothing work;<br>3: so i do and nothing work out;<br>,3
topic2,1.495313,say error; home page; internet connection,0,11.47.1,1: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>2: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>3: not_sure if_it's a_glitch but video can't seem_to play_at_all or freeze midway through load;<br>,1
topic2,0.875374,save video; cant play; internet connection,0,12.06,1: new_update i_can't load video it_keep_say something_go_wrong_tap again and when_i_do it_say the_same_thing;<br>2: can't_watch_anything all video when click_on jump to an_ad that doesn't even load then jump to the video which doesn't load and_then an_error say sorry something_go_wrong_tap to_retry;<br>3: new_update break the_app can't_play_any_video as_it just say there_be an_error while load video;<br>,2
topic2,1.522641,save video; third party; single video,0,12.07,1: although this update have useful careless for_me update i_have notice that tap a_video for get the ui have get way slower the_same for tap option on video;<br>2: every_time_i go_to_watch a_video it_say that video be unavailable and to try_again;<br>3: can we have option to remove the_new layout feature;<br>,3
topic3,1.634320,third party; wifi connection; wrong tap,0,11.47.1,1: everytime i_click_on a_video it_will say internet error;<br>2: no underlie glitch they say;<br>3: we're work very hard on it they say;<br>,1
topic3,1.827433,watch video; home page; wifi connection,0,12.06,1: the only problem i_have with the youtube_app be that the swipe up to browse video in fullscreen only work_on_my phone not my_ipad;<br>2: i swipe up the_app and i lose my channel and every person i subscribe_to just disappear and i_have to create a_new channel;<br>3: every ad i get be a <digit> second ad that i_can't skip;<br>,2
topic3,1.877592,third party; save video; watch video,0,12.07,1: one when scroll_through the recommend for you fee and you make_it let's say halfway down once you've play a_video and return to the fee the list jump back_to the top of_the fee and i_have to scroll all_the way back down to find where i be up to in_the list;<br>2: look like i_have to go_back_to use a third_party youtube_app again;<br>3: i_would like to_see this_app back and operate as_it use to be and i_don't mind those format change as long as future update provide a better and more reliable platform to_watch entertainment;<br>,3
topic4,1.334848,mobile data; wrong tap; single video,single video; third party; video quality,11.47.1,1: litsen youtube this kid have be steel my content for way_to long he have even gotton some record software and stollen my video deleat his channel youtube be once good get_rid_of that son of a b tch;<br>2: i even try_to_watch other video and the_same_thing happen;<br>3: ever_since this update on the 1st of march i_haven't_be_able to_watch video;<br>,1
topic4,1.569064,home page; watch video; save video,0,12.06,1: every_time_i_try to_go into a_video it come_up_with oops something_go_wrong;<br>2: every_time i_click_on a_video it_say_something go_wrong;<br>3: there's a_bug or_something where the_whole app freeze when_try_to load a_video;<br>,2
topic4,2.292023,single video; mobile data; third party,single video; third party; video quality,12.07,1: litsen youtube this kid have be steel my content for way_to long he have even gotton some record software and stollen my video deleat his channel youtube be once good get_rid_of that son of a b tch;<br>2: i even try_to_watch other video and the_same_thing happen;<br>3: ever_since this update on the 1st of march i_haven't_be_able to_watch video;<br>,3
topic5,1.456287,wifi connection; third party; internet connection,third party; save video; video quality,11.47.1,1: when research with multiple tab open it's far easier to have youtube link open_in the browser;<br>2: but link from whatsapp and imessage still open_in browser;<br>3: i_have check it to_see if this have only be in recent vids but i go_back_to some old vids that i_know where in hd i'm quite disappoint in this since i enjoy have a smooth 60fps and clear video i_would really like to_see a return of hd video so as_soon as you_can youtube please_fix_this;<br>,1
topic5,1.554241,home page; watch video; internet connection,0,12.06,1: a_few problem <digit> home_page will automatically scroll up after i_click_on a_video <digit> the_ad be overly repetitive and more often than not with not relevant <digit> i_can't play music in_the background overall the webpage could probably do the job just the_same if not better without have the_app;<br>2: what the hell guy i be super excite when_i close the_app a_few month_ago and it keep play in_the background;<br>3: i_cannot log_in to my google account;<br>,2
topic5,2.761380,watch video; third party; save video,third party; save video; video quality,12.07,1: when research with multiple tab open it's far easier to have youtube link open_in the browser;<br>2: but link from whatsapp and imessage still open_in browser;<br>3: i_have check it to_see if this have only be in recent vids but i go_back_to some old vids that i_know where in hd i'm quite disappoint in this since i enjoy have a smooth 60fps and clear video i_would really like to_see a return of hd video so as_soon as you_can youtube please_fix_this;<br>,3
topic6,1.338978,watch video; wifi connection; home page,0,11.47.1,1: since i update to the_latest_version i_cant watch_video anymore;<br>2: fix_it so i_can report the guy;<br>3: i_can't_seem_to play_any_video after_update the apps;<br>,1
topic6,1.593609,save video; wifi connection; watch video,0,12.06,1: reduce the quality of video should_be an_option when not connect_to wifi thus not use as much data allow user to_watch more video;<br>2: change quality be only an_option when connect_to wifi at this stage and i_think_it should_be revise;<br>3: should_be able_to load comment_on offline save_video should allow float pip video with youtube_red i should also be_able_to auto save offline particular channel or playlist as new_video be post;<br>,2
topic6,1.854711,save video; single video; video quality,0,12.07,1: not_even reinstall refresh app or wipe network setting will fix_this issue;<br>2: try_to save_video offline for_youtube_red and it_keep_say save offline fail;<br>3: have never have such an issue until now;<br>,3
topic7,1.127472,internet connection; cant play; mobile data,0,11.47.1,1: there's a_bug for my_phone that i_can't_watch_any video it_will just_freeze there and it have be <digit> 3days;<br>2: <digit> <digit> <digit> <digit> just unable_to_play video;<br>3: video aren't play try skip forward refresh the_app but it's constantly sick on <digit>;<br>,1
topic7,1.374983,say error; internet connection; cant play,0,12.06,1: i_love_youtube but whenever_i click_on_a video it say_error tap again or try later everything work even the_comment and all that except the video;<br>2: the like video section be extremely annoy why couldn't you have just leave it like before where it be more easier;<br>3: the_new swipe up feature for more video be annoy it's so pointless;<br>,2
topic7,1.731434,double tap; video quality; keep show,0,12.07,1: also i personally don't like the_new video ui or the computer like skip ad button;<br>2: good but a_lot_of the time i press the like button for a_video on_ipad and it_doesn't_work so i_can't like video also sometimes the_comment don't load and i_can't_see them;<br>3: also now whenever_i go_back to_watch_a video my place scroll_through the_comment be lose;<br>,3
topic8,1.607799,say error; single video; wifi connection,0,11.47.1,1: i_can't watch_a single_video it keep pop say_error;<br>2: i_can't watch_a single_video and it's_really start_to annoy_me;<br>3: recently there have be a_bug where video_won't_play even_though it have be buffer and i_have good wifi_connection;<br>,1
topic8,2.133060,wifi connection; home page; watch video,home page; watch video; save video,12.06,1: new_update break the_app can't_play_any_video as_it just say there_be an_error while load video;<br>2: in_the case of_the youtube_app i_would like to say if_it's not break don't fix_it;<br>3: won't be bother use the_app until you_start give a damn about your audience again;<br>,2
topic8,1.845391,third party; watch video; single video,0,12.07,1: two when there_be an_ad mid video the_ad will play and once the_ad be finish the_rest of_the video do_not load and i_have to force close the_app and restart all over again;<br>2: and stop pretend that you have give us that option press the icon in_the top right as instruct in_the application release note leave the video play in_the background how be that a_good outcome;<br>3: video start play and won't pause or minimise the orientation be stick in landscape whilst in_the portrait orientation of my_phone and vice versa i_have experience similar issue on_my tablet so it can't be the phone;<br>,3
