key,value,label,emerlabel,version,sent1,num
topic0,1.363217,subscription page; many time; audio keep,0,11.30,1: the fade filter place on watch video also show_up on other that have not be watch in subscribe video;<br>2: almost_all the time video will_not_load on my_wifi while other_apps do i_can also see the thumbnail when this_happen and all seem_to_be work until the video_won't_load;<br>3: the subscription_page seem_to have fade thumbnail the_same as watch video except without the watch indication on it;<br>,1
topic0,1.738095,comment section; web browser; use safari,0,11.34,1: change the comment style back as_well;<br>2: so i be on youtube this_morning and i saw the youtube comment be different and it be almost impossible_to figure_out what do what;<br>3: fix the comment plz can't_even tell the difference_between comment and reply and everything_else you do in the update scrap it and start over plz;<br>,2
topic0,2.141365,many people; top comment; subscription section,0,11.35,1: it be also glitchy as it only show most_recent comment and not top_comment even_when select;<br>2: i really do enjoy use this_app but in the_latest_update it have be really buggy_as i_can not select on the channel in_my_subscription it instead take to my_subscription_box with all_my channel i subscribe_to;<br>3: i find the current_version of this_app to be rather glitchy;<br>,3
topic0,1.767058,take age; bring back; get stick,take age; bring back; bug fix,11.38,1: not_only will it not let_me load the video i_want_to watch the ad at the beg won't_even load;<br>2: every_time_i want_to_watch a_video the ad load perfectly but not the_actual video if i_want_to watch the_actual video i would have to wait_for about a minute just so it could start and_then it'll buffer until it finish;<br>3: thumbnail and ad load fine_but video don't at_all;<br>,4
topic0,1.435363,social medium; use safari; cant see,0,11.39,1: and also give_us a way_to change thumbnail on_io or_at_least a quick way_to get to desktop mode;<br>2: thumbnail only show_up as a grey colour;<br>3: i've_try_everything to fix_it but the thumbnail aren't show_up;<br>,5
topic0,1.540172,long time; keep get worse; ipad air,0,11.41,1: this have really change the way i use this_app negatively;<br>2: i have use this_app for very long_time but_now i_cannot even use the_app as it cannot load my_account even i switch account it still_can't load;<br>3: i_love so_much this_app thank_for google to develop this wonderful app i never use any other_apps like this;<br>,6
topic0,1.536113,revert back; use safari; home page,0,11.43,1: please_bring it back_to the way it use to look the_previous_update be_fine_but this one really put me in a bad mood;<br>2: the swipe tab be_very easy then move ur finger all the way_down;<br>3: please return_to the design where the tab be at the_top it be a much sleeker more modern look app than it be now;<br>,7
topic0,1.663158,keep write; side bar; keep crash,0,11.45,1: i_don't_like it because i've be so use to the tab icon be at the_top and now it's be move to the_bottom it's also harder_to see them because_they aren't red anymore and they hide with the_background colour color which_be white;<br>2: the_bottom tab selection be_horrible move it back_to the way it be which_be at the_top;<br>3: in it current condition this_app be_terrible;<br>,8
topic0,1.934621,scrub bar; skip forward; double tap,0,11.47,1: you_guy need_to remove the button altogether or locate them somewhere other_than the screen;<br>2: when watch_a video in_full_screen_mode under the scrub_bar there_be recommend video which pop_up onto the screen if_you even accidentally touch the damn screen also scrub be a_pain with the recommendation pop_up instead_of let_me scrub remove this;<br>3: also since i'm a_youtuber and i don't have a_computer i_can't do thumbnail or stuff you_can only do on the computer;<br>,9
topic0,1.599522,data usage; cellular network; keep press,0,11.47.1,1: this work a_couple_of day_ago also oddly enough video won't_even load when use web base youtube on_safari;<br>2: even i_try use web_version also no use;<br>3: i use the_app daily and it be work_perfectly but suddenly my_subscription bar doesn't_load anymore;<br>,10
topic0,1.888676,make sense; error message; keep get,0,11.49,1: but it_still_doesn't work so what's the use of have this useless app;<br>2: however when_i use youtube in the browser it work flawlessly;<br>3: it use to work but_now for_some_reason it_doesn't_work;<br>,11
topic0,1.557291,skip thing; rewind button; stop work,0,12.03,1: it use to be easy control buffer bar;<br>2: the control be clunky and hard_to use;<br>3: find an alternative way so that we_can still use this feature;<br>,12
topic0,2.744303,double tap; keep press; scroll bar,0,12.04,1: listen i_love_youtube good_job on keep the system up and run awesome also can_you remove that double_tap leave and right on the screen to go forward in the_latest_update please it annoy_me when_i hit it by_accident and please_make so that when the screen go dim can_you please_make that not happen until like 30minutes please that's_all and thank_you_for read this keep up the good work;<br>2: the_app use to work but_now video take around 5_minute to load and a black load screen will overlay which_be a_bite annoy;<br>3: also i keep_press the like button but it accidentally make me want_to comment on the comment;<br>,13
topic0,1.801976,full screen mode; spring day; last time,0,12.05,1: h this start today when_i be look on my_subscription video and the thumbnail be literally all distort and glitchy lot_of odd white stuff everywhere on the thumbnail please_fix it;<br>2: look_like whomever design the ui need_to be replace with someone_who understand modern interface design and can_see beyond the exist issue;<br>3: also change your name to addtube;<br>,14
topic0,2.785262,spring day; keep get; terrible layout,0,12.06,1: why_do_you consistently change aspect of the_app that be work completely fine_but then mess them all up just for the sake of change;<br>2: the forward rewind dot have also be move way at_the_bottom make it hard_to forward_or rewind it;<br>3: if_you cast a_video via youtube to your chromecast then open another app such_as instagram or snapchat change volume via volume rocker on your iphone will also change the volume of the video even_if youtube be minimize;<br>,15
topic0,1.890198,stop work; third party; next time,0,12.07,1: use to work not anymore;<br>2: use to work but after_update it will_load the ad but won't_play them result_in me not_be_able to watch_any_video;<br>3: only work rarely when it use to work_perfectly;<br>,16
